"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3062","USER-015 Sitemap includes account links","webkit","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-015-sitemap-includes-account-links.spec.js","",""
"","2085","CART-005 Book product has add to cart controls","firefox","2026-06-05","passed","2026-06-05","Cart Module","cart/cart-005-book-product-has-add-to-cart-controls.spec.js","",""
"","2584","Add on - INFO-012 Footer information links are visible","chromium","2026-06-05","passed","2026-06-05","Add on - Customer Support and Information Module","add-on-customer-support/add-on-info-012-footer-information-links-are-visible.spec.js","",""
"","2722","PROD-002 Top navigation exposes catalog categories","chromium","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-002-top-navigation-exposes-catalog-categories.spec.js","",""
"","4419","CART-003 Header shopping cart link is visible","webkit","2026-06-05","passed","2026-06-05","Cart Module","cart/cart-003-header-shopping-cart-link-is-visible.spec.js","",""
"","2492","ADDR-009 Blue jeans product shows in stock availability","firefox","2026-06-05","passed","2026-06-05","Address and Shipping Module","address-shipping/addr-009-blue-jeans-product-shows-in-stock-availability.spec.js","",""
"","2049","AUTH-002 Login page shows email and password fields","firefox","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-002-login-page-shows-email-and-password-fields.spec.js","",""
"","1849","WISH-010 Product page exposes email a friend action","firefox","2026-06-05","passed","2026-06-05","Wishlist and Compare Module","wishlist-compare/wish-010-product-page-exposes-email-a-friend-action.spec.js","",""
"","2916","USER-004 Login page supports returning customer section","webkit","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-004-login-page-supports-returning-customer-section.spec.js","",""
"","2963","WISH-012 Email a friend form has friend email field","webkit","2026-06-05","passed","2026-06-05","Wishlist and Compare Module","wishlist-compare/wish-012-email-a-friend-form-has-friend-email-field.spec.js","",""
"","2789","USER-013 Login page provides forgot password link","webkit","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-013-login-page-provides-forgot-password-link.spec.js","",""
"","1942","ADDR-013 Sitemap includes shipping returns link","chromium","2026-06-05","passed","2026-06-05","Address and Shipping Module","address-shipping/addr-013-sitemap-includes-shipping-returns-link.spec.js","",""
"","4479","CART-004 Cart footer link is visible","webkit","2026-06-05","passed","2026-06-05","Cart Module","cart/cart-004-cart-footer-link-is-visible.spec.js","",""
"","2023","USER-009 Register page shows personal details fields","firefox","2026-06-05","passed","2026-06-05","User Profile and Account Module","user-profile/user-009-register-page-shows-personal-details-fields.spec.js","",""
"","2866","ADDR-001 Shipping returns page opens","webkit","2026-06-05","passed","2026-06-05","Address and Shipping Module","address-shipping/addr-001-shipping-returns-page-opens.spec.js","",""
"","2648","CART-010 Jewelry product has cart controls","firefox","2026-06-05","passed","2026-06-05","Cart Module","cart/cart-010-jewelry-product-has-cart-controls.spec.js","",""
"","3735","PROD-012 Smartphone product details are visible","webkit","2026-06-05","passed","2026-06-05","Product and Search Module","product/prod-012-smartphone-product-details-are-visible.spec.js","",""
"","3092","ADDR-003 Guest addresses page redirects to login","webkit","2026-06-05","passed","2026-06-05","Address and Shipping Module","address-shipping/addr-003-guest-addresses-page-redirects-to-login.spec.js","",""
"","2058","AUTH-015 Header exposes login and register links","firefox","2026-06-05","passed","2026-06-05","Authentication Module","authentication/auth-015-header-exposes-login-and-register-links.spec.js","",""
