"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1511","INFO-013 Footer customer service links are visible","chromium","2026-05-26","passed","2026-05-26","Customer support and information service","services\customer-support.spec.js","",""
"","1749","ADDR-005 Product shipping estimate has country dropdown","chromium","2026-05-26","passed","2026-05-26","Address and shipping service","services\address-shipping.spec.js","",""
"","1685","PROD-007 Books category shows product cards","chromium","2026-05-26","passed","2026-05-26","Product and search service","services\product-search.spec.js","",""
"","1187","AUTH-010 Register page shows personal detail fields","chromium","2026-05-26","passed","2026-05-26","Authentication service","services\authentication.spec.js","",""
"","1306","PAY-011 MacBook product shows price information","chromium","2026-05-26","passed","2026-05-26","Checkout and payment service","services\checkout-payment.spec.js","",""
"","1486","PROD-014 Category page has sort and page size controls","chromium","2026-05-26","passed","2026-05-26","Product and search service","services\product-search.spec.js","",""
"","1824","PROD-005 Apparel category shows subcategories","chromium","2026-05-26","passed","2026-05-26","Product and search service","services\product-search.spec.js","",""
"","1423","INFO-012 Footer information links are visible","chromium","2026-05-26","passed","2026-05-26","Customer support and information service","services\customer-support.spec.js","",""
"","1206","INFO-008 Conditions of use page opens","chromium","2026-05-26","passed","2026-05-26","Customer support and information service","services\customer-support.spec.js","",""
"","2064","ADDR-014 Footer has shipping returns link","chromium","2026-05-26","passed","2026-05-26","Address and shipping service","services\address-shipping.spec.js","",""
"","1113","CART-002 Empty cart message is shown","chromium","2026-05-26","passed","2026-05-26","Cart service","services\cart.spec.js","",""
"","1299","WISH-010 Recently viewed products page opens","chromium","2026-05-26","passed","2026-05-26","Wishlist and compare service","services\wishlist-compare.spec.js","",""
"","1170","AUTH-006 Password recovery page opens correctly","chromium","2026-05-26","passed","2026-05-26","Authentication service","services\authentication.spec.js","",""
"","1312","AUTH-008 Register page opens correctly","chromium","2026-05-26","passed","2026-05-26","Authentication service","services\authentication.spec.js","",""
"","1617","PAY-009 First Prize Pies product shows price information","chromium","2026-05-26","passed","2026-05-26","Checkout and payment service","services\checkout-payment.spec.js","",""
"","1370","WISH-012 Email a friend page opens","chromium","2026-05-26","passed","2026-05-26","Wishlist and compare service","services\wishlist-compare.spec.js","",""
"","1238","WISH-006 Compare products page opens","chromium","2026-05-26","passed","2026-05-26","Wishlist and compare service","services\wishlist-compare.spec.js","",""
"","1412","WISH-007 Empty compare products message is shown","chromium","2026-05-26","passed","2026-05-26","Wishlist and compare service","services\wishlist-compare.spec.js","",""
"","1226","CART-011 Empty cart still shows search controls","chromium","2026-05-26","passed","2026-05-26","Cart service","services\cart.spec.js","",""
"","1101","USER-013 Login page provides register button for new user","chromium","2026-05-26","passed","2026-05-26","User profile and account service","services\user-profile.spec.js","",""
"","1137","INFO-011 Blog page opens","chromium","2026-05-26","passed","2026-05-26","Customer support and information service","services\customer-support.spec.js","",""
"","1316","INFO-006 Sitemap page opens","chromium","2026-05-26","passed","2026-05-26","Customer support and information service","services\customer-support.spec.js","",""
"","1412","INFO-004 Contact us page has enquiry textarea","chromium","2026-05-26","passed","2026-05-26","Customer support and information service","services\customer-support.spec.js","",""
"","1589","PAY-010 Book product shows price information","chromium","2026-05-26","passed","2026-05-26","Checkout and payment service","services\checkout-payment.spec.js","",""
"","1345","WISH-002 Empty wishlist message is shown","chromium","2026-05-26","passed","2026-05-26","Wishlist and compare service","services\wishlist-compare.spec.js","",""
"","1345","PAY-006 Gift card product has sender fields","chromium","2026-05-26","passed","2026-05-26","Checkout and payment service","services\checkout-payment.spec.js","",""
"","2386","ADDR-003 Guest addresses page redirects to login","chromium","2026-05-26","passed","2026-05-26","Address and shipping service","services\address-shipping.spec.js","",""
"","3244","ADDR-013 First Prize Pies product shows shipping estimate controls","chromium","2026-05-26","passed","2026-05-26","Address and shipping service","services\address-shipping.spec.js","",""
"","1113","CART-013 Empty cart shows customer service footer links","chromium","2026-05-26","passed","2026-05-26","Cart service","services\cart.spec.js","",""
"","1353","PAY-004 Gift card product has recipient name field","chromium","2026-05-26","passed","2026-05-26","Checkout and payment service","services\checkout-payment.spec.js","",""
